,College Administrative Building,College Residence Hall,College Arts Building,Student Center,Church,College Cafeteria,University,College Library,General College & University,College Academic Building,Sorority House,Scenic Lookout,College Quad,College Rec Center,College Classroom,Volleyball Court,Pier,General Entertainment,Community Center,College Track,Sculpture Garden,Music Venue,Speakeasy,College Lab,Hookah Bar,College Communications Building,Beach,Residential Building (Apartment / Condo),Piano Bar,College Gym,Bakery,College Basketball Court,College Theater,Fraternity House,Elementary School,Post Office,Concert Hall,Arcade,College Auditorium,ATM,College Bookstore,Office,Doctor's Office,Furniture / Home Store,Medical Center,Event Space,Financial or Legal Service,Nail Salon,Building,Gym,Government Building,Martial Arts School,Paper / Office Supplies Store,Design Studio,Ice Cream Shop,Pet Store,Yoga Studio,Business Service,Shopping Mall,Restaurant,School,Antique Shop,Mattress Store,Golf Course,Wine Bar,Food & Drink Shop,Coworking Space,Playground,Acupuncturist,Dance Studio,Grocery Store,Laundry Service,Convention Center,Thrift / Vintage Store,Women's Store,Big Box Store,Dive Bar,Meeting Room,Veterinarian,Dentist's Office,Other Great Outdoors,Miscellaneous Shop,Coffee Shop,American Restaurant,Food Truck,Fire Station,Gym / Fitness Center,Lounge,River,Bagel Shop,Field,Seafood Restaurant,Outdoor Supply Store,Housing Development,Video Store,Theme Park,Resort,Japanese Restaurant,Pool,Fishing Store,Lake,Mobile Phone Shop,Tech Startup,Harbor / Marina,Trail,Parking,High School,Bridge,Spa,Italian Restaurant,Police Station,Snack Place,Park,State / Provincial Park,Boutique,Baseball Field,Gas Station,Pizza Place,Bank,Diner,Cosmetics Shop,Discount Store,Convenience Store,Shipping Store,Comedy Club,Sports Bar,Hardware Store,Physical Therapist,Rest Area,Athletics & Sports,Tennis Court,Campground,Radio Station,Photography Studio,Soccer Field,Bus Station,Liquor Store,Sushi Restaurant,Sandwich Place,Fast Food Restaurant,Burger Joint,Salon / Barbershop,Photography Lab,Bar,Chinese Restaurant,Shoe Store,Health & Beauty Service,Pharmacy,Factory,Trade School,Lawyer,Donut Shop,Military Base,Hostel,Dry Cleaner,German Restaurant,Insurance Office,Fried Chicken Joint,Spiritual Center,Music Store,General Travel,Other Nightlife,Automotive Shop,Art Gallery,Hockey Arena,Rock Club,Garden Center,Gaming Cafe,College Technology Building,Brewery,Bus Line,Mexican Restaurant,Sporting Goods Shop,Asian Restaurant,BBQ Joint,Beer Garden,Non-Profit,Farmers Market,Credit Union,Funeral Home,Assisted Living,Flea Market,Water Park,Theater,Garden,Strip Club,Library,Professional & Other Places,Hospital,Recruiting Agency,Gastropub,Exhibit,Optical Shop,Synagogue,Middle Eastern Restaurant,Kosher Restaurant,Flower Shop,Smoke Shop,Café,Food,Pet Service,Juice Bar,Candy Store,Market,Tattoo Parlor,Accessories Store,Indian Restaurant,Alternative Healer,Persian Restaurant,Mediterranean Restaurant,French Restaurant,Dog Run,Hotel,Gift Shop,Jewelry Store,Deli / Bodega,Arts & Crafts Store,Smoothie Shop,Conference Room,Cocktail Bar,Health Food Store,Travel Agency,Record Shop,Indie Movie Theater,Herbs & Spices Store,Dessert Shop,Bistro,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Massage Studio,Korean Restaurant,Bike Shop,Breakfast Spot,Rental Car Location,North Indian Restaurant,Nightclub,Locksmith,Other Repair Shop,Beer Bar,Gay Bar,Construction & Landscaping,Carpet Store,Pool Hall,Medical Lab,Wings Joint,Gymnastics Gym,Lighting Store,Latin American Restaurant,Supermarket,Bookstore,Clothing Store,Event Service,Laundromat,Winery,Food Court,Electronics Store,Embassy / Consulate,Real Estate Office,Middle School,Tree,Fabric Shop,Mental Health Office,Vape Store,Skate Park,Chocolate Shop,Department Store,Home Service,Costume Shop,Weight Loss Center,Supplement Shop,Shopping Plaza,Auto Dealership,Eye Doctor,Tailor Shop,Hobby Shop,Driving School,Hunting Supply,History Museum,Daycare,Social Club,Castle,Escape Room,Mac & Cheese Joint,Nightlife Spot,Vineyard,Storage Facility,Plaza,Frozen Yogurt Shop,Nursery School,Moving Target,Motel,Basketball Court,Steakhouse,Filipino Restaurant,Thai Restaurant,Kingdom Hall,Preschool,Greek Restaurant,Music School,Gourmet Shop,Eastern European Restaurant,Voting Booth,Print Shop,Recording Studio,Ethiopian Restaurant,Farm,Golf Driving Range,Cemetery,Bowling Alley,Airport Terminal,Auto Garage,College Science Building,Toy / Game Store,Chiropractor,Pub,Pop-Up Shop,Leather Goods Store,Men's Store,Bubble Tea Shop,City Hall,Cajun / Creole Restaurant,Recreation Center,Stables,Rental Service,Cafeteria,Mountain,Racetrack,Karaoke Bar,Distribution Center,Mosque,Surf Spot,Kitchen Supply Store,Cupcake Shop,Kids Store,Lingerie Store,Tourist Information Center,Historic Site,Track,Video Game Store,Marijuana Dispensary,Burmese Restaurant,Animal Shelter,Check Cashing Service,Southern / Soul Food Restaurant,Syrian Restaurant,Bus Stop,Beer Store,Tanning Salon,Distillery,Caribbean Restaurant,Stadium,Shop & Service,Pawn Shop,Car Wash,Hot Dog Joint,Boat or Ferry,Emergency Room,Auto Workshop,Food Service,Tea Room,Performing Arts Venue,Courthouse,Roller Rink,African Restaurant,Hotel Bar,Motorsports Shop,Light Rail Station,Auditorium,Cuban Restaurant,Club House,Polish Restaurant,Movie Theater,Recycling Facility,Community College,Taco Place,Board Shop,Bridal Shop,Frame Store,Indie Theater,College Football Field,College Engineering Building,College & University,Fountain,Shoe Repair,Soccer Stadium,Monument / Landmark,College Stadium,Circus School,Rehab Center,Skating Rink,Coffee Roaster,Lighthouse,Gun Shop,Football Stadium,Industrial Estate,Transportation Service,Nudist Beach,Urgent Care Center,Science Museum,Art Museum,Temple,Fruit & Vegetable Store,Poke Place,Boarding House,Campaign Office,Lottery Retailer,Casino,Ballroom,Sports Club,Corporate Cafeteria,Hindu Temple,Comic Shop,Wine Shop,Disc Golf,Bed & Breakfast,Jazz Club,Buffet,Butcher,Business Center,Himalayan Restaurant,Swim School,Gym Pool,Zoo,Hawaiian Restaurant,Motorcycle Shop,Town Hall,Fish & Chips Shop,Ski Lodge,Hot Spring,Moroccan Restaurant,Hospital Ward,Warehouse,Art Studio,Advertising Agency,Basketball Stadium,Opera House,Shrine,Outlet Store,Noodle House,Cantonese Restaurant,Fish Market,Taiwanese Restaurant,Dim Sum Restaurant,Fair,New American Restaurant,Halal Restaurant,Circus,Gun Range,Boat Launch,Private School,Museum,Brazilian Restaurant,Rock Climbing Spot,Skydiving Drop Zone,Airport,Public Art,Medical School,Street Food Gathering,Travel Lounge,Aquarium,Waste Facility,Pilates Studio,Tapas Restaurant,Platform,Bike Rental / Bike Share,Dive Shop,Nature Preserve,Indoor Play Area,Research Laboratory,Currency Exchange,Tex-Mex Restaurant,Outdoors & Recreation,Veterans' Organization,Trailer Park,Australian Restaurant,Rugby Pitch,Burrito Place,Boxing Gym,Cultural Center,RV Park,Vacation Rental,IT Services,Cooking School,Maternity Clinic,Tunnel,Warehouse Store,Buddhist Temple,Whisky Bar,Track Stadium,Prayer Room,Falafel Restaurant,Botanical Garden,EV Charging Station,Vehicle Inspection Station,Train Station,Cave,Bath House,Pie Shop,Astrologer,Gelato Shop,Ski Trail,Prison,Climbing Gym,Religious School,Adult Education Center,Gluten-free Restaurant,Dumpling Restaurant,College Baseball Diamond,Bike Trail,Portuguese Restaurant,Newsstand,Camera Store,Medical Supply Store,Metro Station,Nutritionist,Sake Bar,Arts & Entertainment,Adult Boutique,Watch Shop,Travel & Transport,Well,Wedding Hall,Kebab Restaurant,Turkish Restaurant,College Math Building,Mini Golf,Zoo Exhibit,Soup Place,Theme Park Ride / Attraction,Laser Tag,Planetarium,Street Art,Toll Plaza,Argentinian Restaurant,Capitol Building,Reservoir,Perfume Shop,Baseball Stadium,Outdoor Event Space,Go Kart Track,College Hockey Rink,Spanish Restaurant,Empanada Restaurant,South American Restaurant,Notary,Indian Chinese Restaurant,Internet Cafe,Tour Provider,Hotel Pool,Picnic Area,Comfort Food Restaurant,Law School,Paintball Field,Airport Lounge,TV Station,Ramen Restaurant,Cheese Shop,College History Building,Salad Place,Multiplex,Ski Shop,Peruvian Restaurant,Caucasian Restaurant,Modern European Restaurant,Lebanese Restaurant,College Soccer Field,Waterfront,Language School,Airport Tram,Airport Gate,Outdoor Sculpture,Sikh Temple,Fireworks Store,Irish Pub,Sicilian Restaurant,Tuscan Restaurant,Creperie,Czech Restaurant,Canal,Entertainment Service,Organic Grocery,Knitting Store,Cycle Studio,Tennis Stadium,Andhra Restaurant,Child Care Service,Shabu-Shabu Restaurant,Szechuan Restaurant,Food Stand,Monastery,Other Event,Airport Service,College Tennis Court,Doner Restaurant,Salvadoran Restaurant,Night Market,Memorial Site,Amphitheater,Baggage Locker,College Cricket Pitch,Mongolian Restaurant,Israeli Restaurant,Beach Bar,Forest,Piercing Parlor,Film Studio,Christmas Market,Festival,Hockey Field,Summer Camp,Ski Area,Used Auto Dealership,Chaat Place,Canal Lock,Apres Ski Bar,Drugstore,Used Bookstore,Souvenir Shop,Pakistani Restaurant,Roof Deck,Sri Lankan Restaurant,Arepa Restaurant,Dam,Tibetan Restaurant,Inn,Baby Store,Hospice,Truck Stop,Cambodian Restaurant,Duty-free Shop,Meadery,Island,Fishing Spot,South Indian Restaurant,Country Dance Club,Power Plant,Bathing Area,Corporate Amenity,Stationery Store,Bay,Boat Rental,Theme Restaurant,Salsa Club,Venezuelan Restaurant,Research Station,Colombian Restaurant,Sausage Shop,Paella Restaurant,Luggage Store,National Park,Scandinavian Restaurant,English Restaurant,Shanghai Restaurant,Observatory,Donburi Restaurant,Fondue Restaurant,Afghan Restaurant,Hunan Restaurant,Japanese Curry Restaurant,Malay Restaurant,Hotpot Restaurant,Border Crossing,Cricket Ground,Flight School,Sporting Event,Pedestrian Plaza,Tiki Bar,Toll Booth,Rafting,Corporate Coffee Shop,Hockey Rink,Pastry Shop,Mobility Store,Music Festival,Tram Station,Taxi Stand,Heliport,Pet Café,Indonesian Restaurant,Outlet Mall,Poutine Place,Bowling Green,Ski Chalet,Floating Market,Picnic Shelter,Imported Food Shop,Hill,Racecourse,Dive Spot,Drive-in Theater,Outdoor Gym,Airport Food Court,Waterfall,Baggage Claim,Volcano,Public Bathroom,Skate Shop,Ski Chairlift,Russian Restaurant,Port,Armenian Restaurant,Palace,New Auto Dealership,Betting Shop,Residence,Shawarma Place,Jewish Restaurant,venue_count,zip_code
10,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,3.0,,,,,2.0,,2.0,,,,,,2.0,,,,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,2.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,27302
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1841
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,3.0,1.0,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,3.0,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,30341
13,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.0,1.0,2.0,,,,,7.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,32205
14,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,1.0,,,,,1.0,,1.0,,,,,7.0,,,2.0,2.0,,1.0,2.0,3.0,6.0,1.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,4.0,1.0,,,,1.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,19901
15,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,1.0,,,,1.0,9.0,,2.0,,2.0,1.0,2.0,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,3.0,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,11520
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,7.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,7.0,,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,,,1.0,2.0,4.0,,4.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,4.0,2.0,2.0,,2.0,1.0,4.0,,1.0,,,,,,,,,,1.0,,,,,4.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,44070
17,,1.0,,,4.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,2.0,1.0,,1.0,3.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,2.0,2.0,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,3.0,,,,4.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,44601
18,1.0,6.0,,1.0,,,1.0,1.0,,2.0,,1.0,,,2.0,,,1.0,,,,,2.0,2.0,,,,4.0,,,,,1.0,3.0,,,,,,,,2.0,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,15701
19,,,,,10.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,,,2.0,,,,1.0,2.0,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,5.0,,,,,2.0,,,1.0,,,,,1.0,,,,,,2.0,,,3.0,6.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,2.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,23321
